Date,Close,Open,High,Low,Volume,Daily_Return,SMA_20,RSI_14
2022-05-18,120.09,121.3,121.97,119.53,12660000.0,-0.0171,124.85349999999998,35.20389075944631
2022-05-17,122.18,121.04,122.97,120.81,11160000.0,0.0331,125.19200000000001,35.25233644859816
2022-05-16,118.26,118.54,119.46,117.23,10270000.0,-0.006999999999999999,125.402,31.0913287174415
2022-05-13,119.09,119.41,120.25,117.96,10440000.0,0.0089,125.55699999999999,31.988285063455905
2022-05-12,118.04,117.0,118.32,115.37,16320000.0,-0.0008,125.48150000000001,26.686706746826985
2022-05-11,118.14,119.3,122.89,117.94,14630000.0,-0.0063,125.123,28.944543828264756
2022-05-10,118.89,123.11,123.78,117.56,16379999.999999998,-0.024399999999999998,124.66750000000002,24.715693707354063
2022-05-09,121.86,122.11,123.33,120.5,14310000.0,-0.015,124.25699999999999,33.42726312081717
2022-05-06,123.72,123.8,124.29,121.18,14420000.0,-0.0016,123.9565,39.93666432090077
2022-05-05,123.92,125.25,126.1,122.16,15060000.0,-0.025,123.64450000000002,43.71688115064347
2022-05-04,127.1,122.8,127.4,122.74,17130000.0,0.0331,123.39950000000002,51.28830083565459
2022-05-03,123.03,121.53,124.17,120.78,15720000.0,0.021400000000000002,123.05549999999998,47.47019013857558
2022-05-02,120.45,119.88,120.71,118.22,18540000.0,0.0091,122.4665,55.901328273244786
2022-04-29,119.36,123.05,123.61,118.9,14870000.0,-0.0323,121.87100000000001,51.98337740838685
2022-04-28,123.34,122.81,123.65,121.14,13020000.0,0.0158,121.56599999999999,55.66794558772236
2022-04-27,121.42,122.33,123.56,121.22,17220000.0,-0.013000000000000001,121.275,48.66666666666666
2022-04-26,123.02,124.64,126.41,122.87,17210000.0,-0.0296,121.10799999999999,59.09090909090908
2022-04-25,126.77,126.01,127.11,123.11,17150000.0,-0.0003,121.2165,63.19587628865979
2022-04-22,126.81,130.28,130.52,126.69,14320000.0,-0.0287,121.68999999999998,65.61053755784977
2022-04-21,130.56,132.22,132.81,129.96,12170000.0,-0.0078000000000000005,122.30249999999998,69.56521739130436
2022-04-20,131.58,132.52,133.51,131.34,13430000.0,0.0034999999999999996,122.87700000000002,69.82193064667293
2022-04-19,131.12,128.45,131.32,128.23,15020000.0,0.0207,123.324,65.69491525423729
2022-04-18,128.46,125.67,129.24,125.54,11830000.0,0.018600000000000002,123.83400000000002,57.82178217821784
2022-04-14,126.12,126.5,128.3,125.02,18840000.0,-0.009300000000000001,124.1855,53.39087546239211
2022-04-13,127.3,126.94,129.25,126.01,30840000.0,-0.0322,124.64850000000001,50.32851511169515
2022-04-12,131.54,132.14,134.58,130.7,12990000.0,-0.011000000000000001,125.31850000000001,63.900686050310334
2022-04-11,133.0,133.0,134.9,132.57,10470000.0,-0.0037,126.024,71.27839945744319
2022-04-08,133.49,131.67,133.9,131.49,13130000.0,0.0183,126.6055,74.45482866043614
2022-04-07,131.09,130.95,131.92,128.73,12990000.0,-0.003,126.974,64.18894177956791
2022-04-06,131.49,131.58,132.56,130.96,12910000.0,-0.0139,127.35249999999999,69.52307095773554
2022-04-05,133.34,134.07,135.4,133.01,12110000.0,-0.0189,127.6645,69.81566820276497
2022-04-04,135.91,134.12,136.94,132.89,17420000.0,0.0044,128.3085,68.38294448913916
2022-04-01,135.31,137.4,137.41,133.8,15720000.0,-0.0074,129.05149999999998,66.71911880409125
2022-03-31,136.32,139.83,140.34,136.26,17350000.0,-0.03,129.8995,62.698412698412675
2022-03-30,140.54,141.9,142.12,139.91,8770000.0,-0.0045000000000000005,130.7595,67.31066460587323
2022-03-29,141.18,143.35,143.59,140.24,11320000.0,0.0022,131.7475,69.30161166538758
